Team,odds_in_favor,odds_against,probability
Switzerland,2.2,"2.36",45.45454545454545
Poland,1.77,"1.82",56.49717514124294
Croatia,1.74,"1.85",57.47126436781609
Portugal,2.14,"2.2",46.728971962616825
Wales,1.47,"1.5",68.02721088435374
Northern Ireland,3,"3.15",33.33333333333333
Germany,1.19,"1.2",84.03361344537815
France,1.2,"1.22",83.33333333333334
England,1.24,"1.26",80.64516129032259
Belgium,1.28,"1.34",78.125
Spain,1.56,"1.65",64.1025641025641
Italy,2.64,"2.74",37.878787878787875
Hungary,4,"4.3 ",25.0
Iceland,4.7,"5.4",21.27659574468085
Rep Of Ireland,5.4,"6.4",18.51851851851852
Slovakia,6.4,7.4,15.625
