Team,odds_in_favor,odds_against,probability
Belgium,1.74,"1.75",57.47126436781609
Croatia,2.84,"2.9",35.21126760563381
England,2.82,"2.84",35.46099290780142
France,1.8,"1.88",55.55555555555556
Germany,2.34,"2.44",42.73504273504274
Hungary,9,"10",11.11111111111111
Iceland,17,"22",5.88235294117647
Italy,5.6,"5.9",17.857142857142858
Northern Ireland,11.5,"12.5",8.695652173913043
Poland,4.5,"4.7",22.22222222222222
Portugal,3.6,"3.7",27.77777777777778
Rep Of Ireland,15,"19",6.666666666666667
Slovakia,20,"36",5.0
Spain,2.82,"2.9",35.46099290780142
Switzerland,6,"6.4",16.666666666666664
Wales,4.1,4.2,24.39024390243903
