Team,odds_in_favor,odds_against,probability
Belgium,3.1,"3.15",32.25806451612903
Croatia,4.7,"4.8",21.27659574468085
England,7.2,"7.4",13.88888888888889
France,3.45,"3.6",28.985507246376812
Germany,3.8,"3.95",26.31578947368421
Hungary,29,"36",3.4482758620689653
Iceland,85,"110",1.1764705882352942
Italy,11.5,"12",8.695652173913043
Northern Ireland,75,"80",1.3333333333333335
Poland,10,"10.5",10.0
Portugal,5.8,"5.9",17.24137931034483
Rep Of Ireland,60,"85",1.6666666666666667
Slovakia,75,"120",1.3333333333333335
Spain,4.7,"5.1",21.27659574468085
Switzerland,17.5,"18.5",5.714285714285714
Wales,11.5,"12",8.695652173913043
